	item_id	TITLE
0	1	История игрушек
1	2	Джуманджи
2	3	Старые ворчуны разбушевались
3	4	В ожидании выдоха
4	5	Отец невесты 2
5	6	Схватка
6	7	Сабрина
7	8	Приключения Тома Сойера
8	9	Внeзапная смерть
9	10	Золотой глаз
10	11	Американский президент
11	12	Дракула: Мёртвый и довольный
12	13	Балто
13	14	Никсон
14	15	Остров головорезов
15	16	Казино
16	17	Разум и чувства
17	18	Четыре комнаты
18	19	Эйс Вентура 2: Когда зовёт природа
19	20	Денежный поезд
20	21	Контракт с коротышкой
21	22	Имитатор
22	23	Наемные убийцы
23	24	Пудра
24	25	Покидая Лас-Вегас
25	26	Отелло
26	27	Сейчас и тогда
27	28	Persuasion
28	29	Город потерянных детей
29	30	Шанхайская триада
30	31	Опасные умы
31	32	12 обезьян
32	33	Крылья отваги
33	34	Бэйб: Четвероногий малыш
34	35	Кэррингтон
35	36	Мертвец идет
36	37	Путешествие во времени
37	38	Двое: Я и моя тень
38	39	Бестолковые
39	40	Два цвета времени
40	41	Ричард III
41	42	Мертвые президенты
42	43	Королевская милость
43	44	Смертельная битва
44	45	Умереть во имя
45	46	Лоскутное одеяло
46	47	Семь
47	48	Покахонтас
48	49	Когда наступает ночь
49	50	Подозрительные лица
50	51	Ангел-хранитель
51	52	Великая Афродита
52	53	Америка
53	54	Азбука футбола
54	55	Джорджия
55	56	Меч короля Артура
56	57	Домой на праздники
57	58	Почтальон
58	59	Исповедь
59	60	Индеец в шкафу
60	61	Око за око
61	62	Опус мистера Холланда
62	63	Не грози южному централу, попивая сок у себя в квартале
63	64	Украденные сердца
64	65	Био-Дом
65	66	Газонокосильщик 2: За пределами киберпространства
66	67	Четвертак
67	68	Французский твист
68	69	Пятница
69	70	От заката до рассвета
70	71	Чeстная игра
71	72	Забыть и вспомнить
72	73	Отверженные
73	74	Постель из роз
74	75	Большие парни
75	76	Крикуны
76	77	Nico Icon
77	78	Постовой на перекрестке
78	79	Присяжная
79	80	Белый шар
80	81	Чeм заняться мертвецу в Денвере
81	82	Антония
82	83	Once Upon a Time... When We Were Colored
83	84	Last Summer in the Hamptons
84	85	Ангелы и насекомые
85	86	Белый шквал
86	87	Появляется Данстон
87	88	Паршивая овца
88	89	В последний момент
89	90	Путешествие Августа Кинга
90	92	Мэри Райли
91	93	Bампир в Бруклине
92	94	Красивые девушки
93	95	Сломанная стрела
94	96	Зимняя сказка
95	97	Ненависть
96	98	Шоппинг
97	99	Heidi Fleiss: Hollywood Madam
98	100	Мэрия
99	101	Бутылочная ракета
100	102	Господин Ошибка
101	103	Незабываемое
102	104	Счастливчик Гилмор
103	105	Мосты округа Мэдисон
104	106	Никто меня не любит
105	107	Остров сокровищ Маппетов
106	108	Catwalk
107	109	Headless Body in Topless Bar
108	110	Храброе сердце
109	111	Таксист
110	112	Разборка в Бронксе
111	113	До и после
112	114	Музей Маргариты
113	115	Любовь в лугах
114	116	Вспоминая Анну Франк
115	117	Настольная книга молодого отравителя
116	118	Если Люси упадет
117	119	Один из двух
118	120	В погоне за солнцем
119	121	Мальчики святого Винсента
120	122	Бумеранг
121	123	Чyнгкингский экспресс
122	124	Фабрика звезд
123	125	Не будите спящую собаку
124	126	Бесконечная история 3
125	127	Дворцовые молчания
126	128	Jupiter's Wife
127	129	Журавль в небе
128	130	Анджела
129	131	Звезды Фрэнки
130	132	Шлюха
131	133	Nueba Yol
132	134	Sonic Outlaws
133	135	Убрать перископ
134	136	From the Journals of Jean Seberg
135	137	Man of the Year
136	138	Неоновая Библия
137	139	Target
138	140	Близко к сердцу
139	141	Клетка для пташек
140	142	Shadows (Cienie)
141	143	Gospa
142	144	Братья МакМаллен
143	145	Плохие парни
144	146	Удивительное приключение панды
145	147	Дневник баскетболиста
146	148	Ужасно большое приключение
147	149	Дилетанты
148	150	Apollon 13
149	151	Роб Рой
150	152	Зависимость
151	153	Бэтмен навсегда
152	154	Дневная красавица
153	155	За пределами Рангуна
154	156	С унынием в лице
155	157	Канадский бекон
156	158	Каспер
157	159	Толкачи
158	160	Конго
159	161	Багровый прилив
160	162	Крамб
161	163	Отчаянный
162	164	Дьявол в голубом платье
163	165	Крепкий орешек 3
164	166	Поколение игры 'Doom'
165	167	Последнее лето любви
166	168	Первый рыцарь
167	169	Освободите Вилли 2: Новое приключение
168	170	Хакеры
169	171	Джеффри
170	172	Джонни Мнемоник
171	173	Судья Дредд
172	174	Долг присяжного
173	175	Детки
174	176	Жизнь в забвении
175	177	Повелитель иллюзий
176	178	Любовь и бренные останки
177	179	Дикая любовь
178	180	Тусовщики из супермаркета
179	181	Могучие Морфы Рейнджеры Силы
180	182	Лунный свет и Валентино
181	183	Немой свидетель
182	184	Надя
183	185	Сеть
184	186	Девять месяцев
185	187	Тусовщица
186	188	Пророчество
187	189	Безрассудные
188	190	Спасение
189	191	Алая буква
190	192	The Show
191	193	Шоугёлз
192	194	Дым
193	195	Тема для разговора
194	196	Особь
195	197	Счастливые звезды над Генриеттой
196	198	Странные дни
197	199	Шербургские зонтики
198	200	Неразрывная связь
199	201	Три желания
200	202	Полное затмение
201	203	Вонг Фу, с благодарностью за всё! Джули Ньюмар
202	204	В осаде 2: Тёмная территория
203	205	Сумасшедшие герои
204	206	Нараспашку
205	207	Прогулка в облаках
206	208	Водный мир
207	209	Участь белого человека
208	210	Дикий Билл
209	211	Версия Браунинга
210	212	Измученные походом
211	213	Утомлённые солнцем
212	214	Перед дождем
213	215	Перед рассветом
214	216	Билли Мэдисон
215	217	Приходящая няня
216	218	Парни побоку
217	219	Лекарство
218	220	Урод в замке
219	222	Круг друзей
220	223	Клерки
221	224	Дон Жуан де Марко
222	225	Разоблачение
223	226	Мужчина из снов
224	227	Зона высадки
225	228	Дестини включает радио
226	229	Смерть и девушка
227	230	Долорес Клэйборн
228	231	Тупой и еще тупее
229	232	Ешь, пей, мужчина, женщина
230	233	Экзотика
231	234	Выход к Раю
232	235	Эд Вуд
233	236	Французский поцелуй
234	237	Забыть Париж
235	238	Далеко от дома: Приключения желтого пса
