	MOVIEID	TITLE	GENRES	REALEASE	(no genres listed)	Action	Adventure	Animation	Children	Comedy	Crime	Documentary	Drama	Fantasy	Film-Noir	Horror	IMAX	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western	count	mean	SCORE	title
0	318	Побег из Шоушенка	Crime,Drama	1994.0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	122295	4.416791365141665	4.413680640392088	Побег из Шоушенка
1	159817	BBC: Планета Земля	Documentary	2006.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3014	4.448075646980756	4.329482425183285	BBC: Планета Земля
2	858	Крёстный отец	Crime,Drama	1972.0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	75003	4.326600269322561	4.32186232971435	Крёстный отец
3	202439	Паразиты	Comedy,Drama	2019.0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12398	4.329972576221971	4.301752721298828	Паразиты
4	170705	Братья по оружию	Action,Drama,War	2001.0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2834	4.423959068454481	4.3006143326609125	Братья по оружию
5	171011	Планета Земля 2	Documentary	2016.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2040	4.45171568627451	4.282753450746847	Планета Земля 2
6	50	Подозрительные лица	Crime,Mystery,Thriller	1995.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	72892	4.2678689019371125	4.263213404381568	Подозрительные лица
7	1221	Крёстный отец 2	Crime,Drama	1974.0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	47270	4.26950497144066	4.262331126171623	Крёстный отец 2
8	1203	12 рaзгневанных мужчин	Drama	1957.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	22729	4.267125698446918	4.252326264306472	12 рaзгневанных мужчин
9	527	Список Шиндлера	Drama,War	1993.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	84231	4.242333582647719	4.238385268526667	Список Шиндлера
10	2959	Бойцовский клуб	Action,Crime,Drama,Thriller	1999.0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	86206	4.236027654687609	4.232189418605412	Бойцовский клуб
11	2019	Семь самураев	Action,Adventure,Drama	1954.0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17119	4.25077399380805	4.231457493765953	Семь самураев
12	5618	Унесённые призраками	Adventure,Animation,Fantasy	2001.0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	35374	4.226041725561147	4.216806708322649	Унесённые призраками
13	904	Окно во двор	Mystery,Thriller	1954.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	26063	4.223036488508614	4.210567615870954	Окно во двор
14	1193	Пролетая над гнездом кукушки	Drama	1975.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	49315	4.2127952955490215	4.206229505759003	Пролетая над гнездом кукушки
